"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1411","Navigation from login page to registration page","LMS System","Mon Mar 02 10:49:17 UTC 2026","passed","Mon Mar 02 10:49:19 UTC 2026","Authorization","Authentication","",""
"","2157","User login with wrong email or password","LMS System","Mon Mar 02 10:49:13 UTC 2026","passed","Mon Mar 02 10:49:15 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Mon Mar 02 10:49:28 UTC 2026","passed","Mon Mar 02 10:49:28 UTC 2026","TestUserAuthentification","test_markers","",""
"","1745","Registration with correct email, username and password","LMS System","Mon Mar 02 10:49:19 UTC 2026","passed","Mon Mar 02 10:49:21 UTC 2026","Registration","Authentication","",""
"","1414","User login with wrong email or password","LMS System","Mon Mar 02 10:49:17 UTC 2026","passed","Mon Mar 02 10:49:19 UTC 2026","Authorization","Authentication","",""
"","1","test_logout","tests.pytest","Mon Mar 02 10:49:28 UTC 2026","passed","Mon Mar 02 10:49:28 UTC 2026","TestUserAuthentification","test_markers","",""
"","3852","User login with correct email or password","LMS System","Mon Mar 02 10:49:13 UTC 2026","passed","Mon Mar 02 10:49:17 UTC 2026","Authorization","Authentication","",""
"","1693","Check displaying of empty courses list","LMS System","Mon Mar 02 10:49:21 UTC 2026","passed","Mon Mar 02 10:49:22 UTC 2026","Courses","Courses","",""
"","4412","Create course","LMS System","Mon Mar 02 10:49:23 UTC 2026","passed","Mon Mar 02 10:49:27 UTC 2026","Courses","Courses","",""
"","4554","test_edit_course[chromium]","LMS System","Mon Mar 02 10:49:23 UTC 2026","passed","Mon Mar 02 10:49:27 UTC 2026","Courses","Courses","",""
"","1","test_regression_case","tests.pytest","Mon Mar 02 10:49:28 UTC 2026","passed","Mon Mar 02 10:49:28 UTC 2026","","test_markers","",""
"","1747","User login with wrong email or password","LMS System","Mon Mar 02 10:49:15 UTC 2026","passed","Mon Mar 02 10:49:17 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Mon Mar 02 10:49:28 UTC 2026","passed","Mon Mar 02 10:49:28 UTC 2026","","test_markers","",""
"","0","test_password","tests.pytest","Mon Mar 02 10:49:28 UTC 2026","passed","Mon Mar 02 10:49:28 UTC 2026","TestUserAuthentification","test_markers","",""
"","0","test_critical_login","tests.pytest","Mon Mar 02 10:49:28 UTC 2026","passed","Mon Mar 02 10:49:28 UTC 2026","","test_markers","",""
"","1544","Check displaying of dashboard page","LMS System","Mon Mar 02 10:49:29 UTC 2026","passed","Mon Mar 02 10:49:31 UTC 2026","Dashboard","Dashboard","",""
